"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"d.diff[2, 1]",-0.226,0.051,-0.328,-0.226,-0.126,1,1259
"d.diff[1, 2]",0.115,0.056,0.003,0.116,0.226,1,2241
"d.diff[2, 2]",-0.177,0.052,-0.28,-0.177,-0.073,1,1229
"d.diff[1, 3]",-0.038,0.074,-0.187,-0.037,0.107,1,2143
"d.diff[2, 3]",-0.036,0.066,-0.165,-0.036,0.092,1,995
"d.diff[1, 4]",0.009,0.069,-0.128,0.009,0.144,1,2156
"d.diff[2, 4]",0.049,0.064,-0.077,0.049,0.174,1,1187
"d.diff[1, 5]",-0.144,0.084,-0.315,-0.142,0.018,1,2156
"d.diff[2, 5]",0.19,0.074,0.045,0.19,0.34,1,1116
"d.diff[1, 6]",-0.153,0.083,-0.322,-0.152,0.007,1,2247
"d.diff[2, 6]",0.141,0.075,-0.006,0.139,0.295,1,1118
"e.alpha[1, 1]",0.166,0.014,0.139,0.166,0.194,1,3604
"e.alpha[2, 1]",1.577,0.131,1.354,1.573,1.824,1.01,582
"e.alpha[1, 2]",0.169,0.028,0.118,0.167,0.226,1,4635
"e.alpha[2, 2]",1.402,0.17,1.123,1.386,1.751,1,4629
"e.alpha[1, 3]",0.16,0.029,0.108,0.158,0.221,1,4596
"e.alpha[2, 3]",1.18,0.044,1.101,1.178,1.274,1,2575
"e.alpha[1, 4]",0.141,0.028,0.085,0.141,0.197,1,2403
"e.alpha[2, 4]",1.04,0.022,1.004,1.038,1.09,1,615
"e.diff[1, 1]",-0.003,0.031,-0.065,-0.002,0.054,1,4886
"e.diff[2, 1]",0.175,0.216,-0.26,0.184,0.571,1,1246
"e.diff[1, 2]",0.006,0.032,-0.06,0.007,0.064,1,4697
"e.diff[2, 2]",0.397,0.138,0.152,0.389,0.658,1.01,659
"e.diff[1, 3]",0.025,0.031,-0.038,0.025,0.087,1,2561
"e.diff[2, 3]",0.537,0.134,0.301,0.533,0.789,1.01,577
"e.diff[1, 4]",0.009,0.04,-0.071,0.009,0.087,1,4709
"e.diff[2, 4]",0.221,0.176,-0.076,0.209,0.577,1,3975
"e.diff[1, 5]",0.028,0.04,-0.048,0.027,0.108,1,3087
"e.diff[2, 5]",0.362,0.172,0.075,0.347,0.714,1,3628
"e.diff[1, 6]",0.019,0.04,-0.057,0.018,0.099,1,3273
"e.diff[2, 6]",0.141,0.049,0.047,0.139,0.242,1,1774
"f.alpha[1, 1]",0.091,0.195,0,0,0.65,1.01,6236
"f.alpha[2, 1]",0.516,0.124,0.275,0.514,0.768,1.01,796
"f.alpha[1, 2]",0.13,0.312,0,0,1.031,1.01,6294
"f.alpha[2, 2]",0.083,0.076,0,0.062,0.28,1,3232
"f.alpha[1, 3]",0.155,0.348,0,0,1.173,1,6603
"f.alpha[2, 3]",0.361,0.197,0.033,0.349,0.781,1.02,1156
"f.alpha[1, 4]",0.248,0.505,0,0,1.674,1,7187
"f.alpha[2, 4]",0.542,0.251,0.083,0.534,1.064,1,1162
"sigma",0.055,0.002,0.051,0.055,0.058,1,6287
"sigma.trial[1]",0.098,0.012,0.077,0.097,0.124,1,1141
"sigma.trial[2]",0.406,0.064,0.296,0.401,0.544,1.02,1275
"sigma.trial[3]",0.028,0.008,0.014,0.027,0.046,1,934
"sigma.trial[4]",1.46,0.356,0.891,1.419,2.264,1,424
"w.alpha[1, 1]",0.381,0.486,0,0,1,1,7155
"w.alpha[2, 1]",1,0,1,1,1,NA,0
"w.alpha[1, 2]",0.322,0.467,0,0,1,1,9583
"w.alpha[2, 2]",0.977,0.149,1,1,1,1.32,96
"w.alpha[1, 3]",0.356,0.479,0,0,1,1,8830
"w.alpha[2, 3]",1,0,1,1,1,NA,0
"w.alpha[1, 4]",0.411,0.492,0,0,1,1,9931
"w.alpha[2, 4]",1,0,1,1,1,NA,0
